19:53:11 INFO  : Registering command handlers for Vitis TCF services
19:53:12 INFO  : Successfully done query RDI_DATADIR 
19:53:12 INFO  : Platform repository initialization has completed.
19:53:12 INFO  : plnx-install-location is set to ''
19:53:20 INFO  : Platform 'design_1_wrapper' is added to custom repositories.
19:53:30 INFO  : Result from executing command 'reportApp': {fsblpath=fsbl is not available in the platform., Platform Path=/home/jrmerkel/Documents/School/581/proj/rsd/Processor/Project/Vivado/TargetBoards/Zedboard/rsd/rsd.sdk/design_1_wrapper/export/design_1_wrapper/design_1_wrapper.xpfm, Domain=standalone_domain, platform=design_1_wrapper}
19:53:30 INFO  : Result from executing command 'reportPlatform': {design_1_wrapper={standalone_domain={Os=standalone, DomainName=standalone_domain, CpuType=cortex-a9, CpuInstance=ps7_cortexa9_0}}}
19:53:30 INFO  : Result from executing command 'getDefinitions': {assembler-flags={description=Miscellaneous flags for assembler , props=add set}, build-config={values=Debug,Release, description=Get/set build configuration, props=set}, library-search-path={description=Search path for the libraries added, props=add remove}, compiler-misc={description=Compiler miscellaneous flags, props=add set}, define-compiler-symbols={description=Define symbols. Ex. MYSYMBOL, props=add remove}, compiler-optimization={values=None (-O0), Optimize (-O1), Optimize more (-O2), Optimize most (-O3), Optimize for size (-Os), description=Optimization level, props=set}, libraries={description=Libraries to be added while linking, props=add remove}, undef-compiler-symbols={description=Undefine symbols. Ex. MYSYMBOL, props=add remove}, linker-misc={description=Linker miscellaneous flags, props=add set}, include-path={description=Include path for header files, props=add remove}, linker-script={description=Linker script for linking the program sections, props=set}}
19:53:30 INFO  : Result from executing command 'getProjects': design_1_wrapper;fsbl;fsbl_system
19:53:30 INFO  : Result from executing command 'set': null
19:53:51 INFO  : Checking for BSP changes to sync application flags for project 'fsbl'...
19:53:54 INFO  : Build configuration of system project is automatically updated to 'Release'.
