2017-07-01 13:47:39 startup archives install
2017-07-01 13:47:39 install base-passwd:armhf <none> 3.5.26
2017-07-01 13:47:39 status half-installed base-passwd:armhf 3.5.26
2017-07-01 13:47:39 status unpacked base-passwd:armhf 3.5.26
2017-07-01 13:47:39 status unpacked base-passwd:armhf 3.5.26
2017-07-01 13:47:39 configure base-passwd:armhf 3.5.26 3.5.26
2017-07-01 13:47:39 status unpacked base-passwd:armhf 3.5.26
2017-07-01 13:47:39 status half-configured base-passwd:armhf 3.5.26
2017-07-01 13:47:39 status installed base-passwd:armhf 3.5.26
2017-07-01 13:47:40 startup archives install
2017-07-01 13:47:40 install base-files:armhf <none> 7.1wheezy11
2017-07-01 13:47:40 status half-installed base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 configure base-files:armhf 7.1wheezy11 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:40 status half-configured base-files:armhf 7.1wheezy11
2017-07-01 13:47:41 status installed base-files:armhf 7.1wheezy11
2017-07-01 13:47:41 startup archives install
2017-07-01 13:47:41 upgrade dpkg 1.16.18 1.16.18
2017-07-01 13:47:41 status half-configured dpkg 1.16.18
2017-07-01 13:47:41 status unpacked dpkg 1.16.18
2017-07-01 13:47:41 status half-installed dpkg 1.16.18
2017-07-01 13:47:42 status half-installed dpkg 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 configure dpkg 1.16.18 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 status unpacked dpkg 1.16.18
2017-07-01 13:47:42 status half-configured dpkg 1.16.18
2017-07-01 13:47:42 status installed dpkg 1.16.18
2017-07-01 13:47:42 startup archives install
2017-07-01 13:47:42 install libc6:armhf <none> 2.13-38+deb7u10
2017-07-01 13:47:42 status half-installed libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:43 status unpacked libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:43 status unpacked libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:43 configure libc6:armhf 2.13-38+deb7u10 2.13-38+deb7u10
2017-07-01 13:47:43 status unpacked libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:43 status unpacked libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:43 status half-configured libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:45 status installed libc6:armhf 2.13-38+deb7u10
2017-07-01 13:47:45 startup archives install
2017-07-01 13:47:45 install perl-base:armhf <none> 5.14.2-21+deb7u3
2017-07-01 13:47:45 status half-installed perl-base:armhf 5.14.2-21+deb7u3
2017-07-01 13:47:46 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-07-01 13:47:46 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-07-01 13:47:46 configure perl-base:armhf 5.14.2-21+deb7u3 5.14.2-21+deb7u3
2017-07-01 13:47:46 status unpacked perl-base:armhf 5.14.2-21+deb7u3
2017-07-01 13:47:46 status half-configured perl-base:armhf 5.14.2-21+deb7u3
2017-07-01 13:47:46 status installed perl-base:armhf 5.14.2-21+deb7u3
2017-07-01 13:47:46 startup archives install
2017-07-01 13:47:46 install mawk:armhf <none> 1.3.3-17
2017-07-01 13:47:46 status half-installed mawk:armhf 1.3.3-17
2017-07-01 13:47:46 status unpacked mawk:armhf 1.3.3-17
2017-07-01 13:47:46 status unpacked mawk:armhf 1.3.3-17
2017-07-01 13:47:46 configure mawk:armhf 1.3.3-17 1.3.3-17
2017-07-01 13:47:46 status unpacked mawk:armhf 1.3.3-17
2017-07-01 13:47:46 status half-configured mawk:armhf 1.3.3-17
2017-07-01 13:47:46 status installed mawk:armhf 1.3.3-17
2017-07-01 13:47:46 startup archives install
2017-07-01 13:47:46 install debconf:all <none> 1.5.49
2017-07-01 13:47:46 status half-installed debconf:all 1.5.49
2017-07-01 13:47:46 status unpacked debconf:all 1.5.49
2017-07-01 13:47:46 status unpacked debconf:all 1.5.49
2017-07-01 13:47:46 configure debconf:all 1.5.49 1.5.49
2017-07-01 13:47:46 status unpacked debconf:all 1.5.49
2017-07-01 13:47:46 status unpacked debconf:all 1.5.49
2017-07-01 13:47:46 status unpacked debconf:all 1.5.49
2017-07-01 13:47:46 status unpacked debconf:all 1.5.49
2017-07-01 13:47:46 status half-configured debconf:all 1.5.49
2017-07-01 13:47:48 status installed debconf:all 1.5.49
2017-07-01 13:47:48 startup archives unpack
2017-07-01 13:47:48 install libacl1:armhf <none> 2.2.51-8
2017-07-01 13:47:48 status half-installed libacl1:armhf 2.2.51-8
2017-07-01 13:47:48 status unpacked libacl1:armhf 2.2.51-8
2017-07-01 13:47:48 status unpacked libacl1:armhf 2.2.51-8
2017-07-01 13:47:49 install libattr1:armhf <none> 1:2.4.46-8
2017-07-01 13:47:49 status half-installed libattr1:armhf 1:2.4.46-8
2017-07-01 13:47:49 status unpacked libattr1:armhf 1:2.4.46-8
2017-07-01 13:47:49 status unpacked libattr1:armhf 1:2.4.46-8
2017-07-01 13:47:49 upgrade base-files:armhf 7.1wheezy11 7.1wheezy11
2017-07-01 13:47:49 status half-configured base-files:armhf 7.1wheezy11
2017-07-01 13:47:49 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:49 status half-installed base-files:armhf 7.1wheezy11
2017-07-01 13:47:49 status half-installed base-files:armhf 7.1wheezy11
2017-07-01 13:47:49 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:49 status unpacked base-files:armhf 7.1wheezy11
2017-07-01 13:47:49 upgrade base-passwd:armhf 3.5.26 3.5.26
2017-07-01 13:47:49 status half-configured base-passwd:armhf 3.5.26
2017-07-01 13:47:49 status unpacked base-passwd:armhf 3.5.26
2017-07-01 13:47:49 status half-installed base-passwd:armhf 3.5.26
2017-07-01 13:47:49 status half-installed base-passwd:armhf 3.5.26
2017-07-01 13:47:49 status unpacked base-passwd:armhf 3.5.26
2017-07-01 13:47:49 status unpacked base-passwd:armhf 3.5.26
2017-07-01 13:47:49 install bash:armhf <none> 4.2+dfsg-0.1+deb7u3
2017-07-01 13:47:49 status half-installed bash:armhf 4.2+dfsg-0.1+deb7u3
2017-07-01 13:47:49 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2017-07-01 13:47:49 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2017-07-01 13:47:50 install libbz2-1.0:armhf <none> 1.0.6-4
2017-07-01 13:47:50 status half-installed libbz2-1.0:armhf 1.0.6-4
2017-07-01 13:47:50 status unpacked libbz2-1.0:armhf 1.0.6-4
2017-07-01 13:47:50 status unpacked libbz2-1.0:armhf 1.0.6-4
2017-07-01 13:47:50 install coreutils:armhf <none> 8.13-3.5
2017-07-01 13:47:50 status half-installed coreutils:armhf 8.13-3.5
2017-07-01 13:47:50 status unpacked coreutils:armhf 8.13-3.5
2017-07-01 13:47:50 status unpacked coreutils:armhf 8.13-3.5
2017-07-01 13:47:51 install dash:armhf <none> 0.5.7-3
2017-07-01 13:47:51 status half-installed dash:armhf 0.5.7-3
2017-07-01 13:47:51 status unpacked dash:armhf 0.5.7-3
2017-07-01 13:47:51 status unpacked dash:armhf 0.5.7-3
2017-07-01 13:47:51 install libdb5.1:armhf <none> 5.1.29-5
2017-07-01 13:47:51 status half-installed libdb5.1:armhf 5.1.29-5
2017-07-01 13:47:51 status unpacked libdb5.1:armhf 5.1.29-5
2017-07-01 13:47:51 status unpacked libdb5.1:armhf 5.1.29-5
2017-07-01 13:47:51 upgrade debconf:all 1.5.49 1.5.49
2017-07-01 13:47:51 status half-configured debconf:all 1.5.49
2017-07-01 13:47:52 status unpacked debconf:all 1.5.49
